id;project;connector_type;t;delta_t;url;redirect_url;response_size;response_code;success;error
62;mapping_categories;requests;1597307743.2080379;-0.31409215927124023;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=800;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=800;103855;200;True;
63;mapping_categories;requests;1597307744.026927;-0.5190019607543945;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=820;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=820;103591;200;True;
64;mapping_categories;requests;1597307745.0498052;-0.8296709060668945;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=840;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=840;103469;200;True;
65;mapping_categories;requests;1597307746.383007;-0.6235918998718262;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=860;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=860;104671;200;True;
66;mapping_categories;requests;1597307747.5113869;-0.41411924362182617;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=880;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=880;104329;200;True;
67;mapping_categories;requests;1597307748.430948;-0.3632657527923584;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=900;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=900;103607;200;True;
68;mapping_categories;requests;1597307749.2975519;-0.3681919574737549;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=920;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=920;104578;200;True;
69;mapping_categories;requests;1597307750.169597;-0.4201362133026123;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=940;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=940;103726;200;True;
70;mapping_categories;requests;1597307751.095511;-0.5161950588226318;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=960;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=960;106641;200;True;
71;mapping_categories;requests;1597307752.116349;-0.41730594635009766;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=980;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=980;107863;200;True;
72;mapping_categories;requests;1597307753.0394082;-0.9284167289733887;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1000;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1000;111331;200;True;
73;mapping_categories;requests;1597307754.471798;-0.8286011219024658;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1020;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1020;105969;200;True;
74;mapping_categories;requests;1597307755.806265;-1.6583778858184814;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1040;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1040;105671;200;True;
75;mapping_categories;requests;1597307757.967087;-2.567802906036377;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1060;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1060;104634;200;True;
76;mapping_categories;requests;1597307761.0366132;-0.5066628456115723;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1080;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1080;103310;200;True;
77;mapping_categories;requests;1597307762.04635;-0.3196098804473877;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1100;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1100;103847;200;True;
78;mapping_categories;requests;1597307762.8683789;-0.4171712398529053;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1120;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1120;103521;200;True;
79;mapping_categories;requests;1597307763.789288;-0.4180331230163574;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1140;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1140;104027;200;True;
80;mapping_categories;requests;1597307764.708523;-0.62186598777771;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1160;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1160;104058;200;True;
81;mapping_categories;requests;1597307765.83242;-0.5488178730010986;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1180;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1180;105081;200;True;
82;mapping_categories;requests;1597307766.883531;-0.5447170734405518;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1200;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1200;103464;200;True;
83;mapping_categories;requests;1597307767.9316978;-0.35398411750793457;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1220;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1220;103449;200;True;
84;mapping_categories;requests;1597307768.789154;-0.34092283248901367;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1240;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1240;103551;200;True;
85;mapping_categories;requests;1597307769.635576;-0.40774989128112793;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1260;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1260;103682;200;True;
86;mapping_categories;requests;1597307770.549102;-0.2962939739227295;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1280;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1280;104195;200;True;
87;mapping_categories;requests;1597307771.347287;-0.3389151096343994;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1300;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1300;103528;200;True;
88;mapping_categories;requests;1597307772.1889799;-0.4201653003692627;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1320;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1320;104006;200;True;
89;mapping_categories;requests;1597307773.113015;-0.41084718704223633;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1340;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1340;104278;200;True;
90;mapping_categories;requests;1597307774.024687;-0.3193507194519043;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1360;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1360;103573;200;True;
91;mapping_categories;requests;1597307774.8481731;-0.3138458728790283;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1380;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1380;103776;200;True;
92;mapping_categories;requests;1597307775.6658921;-0.3196229934692383;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1400;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1400;103931;200;True;
93;mapping_categories;requests;1597307776.4873269;-0.31726813316345215;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1420;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1420;103148;200;True;
94;mapping_categories;requests;1597307777.308225;-0.4169039726257324;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1440;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1440;103861;200;True;
95;mapping_categories;requests;1597307778.231137;-0.30515503883361816;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1460;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1460;103287;200;True;
96;mapping_categories;requests;1597307779.037803;-0.3220369815826416;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1480;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1480;104872;200;True;
97;mapping_categories;requests;1597307779.8648572;-0.3020946979522705;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1500;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1500;103476;200;True;
98;mapping_categories;requests;1597307780.6680121;-0.3321988582611084;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1520;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1520;103638;200;True;
99;mapping_categories;requests;1597307781.505905;-0.31369805335998535;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1540;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1540;103094;200;True;
100;mapping_categories;requests;1597307782.322177;-0.30429816246032715;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1560;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1560;103364;200;True;
101;mapping_categories;requests;1597307783.1302242;-0.28014683723449707;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1580;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1580;102956;200;True;
102;mapping_categories;requests;1597307783.91437;-0.2719748020172119;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1600;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1600;104302;200;True;
103;mapping_categories;requests;1597307784.6900852;-0.3035929203033447;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1620;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1620;103875;200;True;
104;mapping_categories;requests;1597307785.496821;-0.3151249885559082;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1640;https://job.jobnet.dk/CV/FindWork/Search?SortValue=CreationDate&Offset=1640;103847;200;True;
